Format,Mail,Date
SERVICE,238,2024-04-16
SPARQL,70,2024-04-16
Unbekannt,4,2024-04-16
WMS,236,2024-04-16
WMTS,215,2024-04-16
ZIP,69,2024-04-16
Fehlt,65,2024-04-17
API,97,2024-04-17
GPKG,1,2024-04-17
HTML,184,2024-04-17
RDF XML,5,2024-04-17
SERVICE,238,2024-04-17
SPARQL,70,2024-04-17
Unbekannt,4,2024-04-17
WMS,236,2024-04-17
WMTS,215,2024-04-17
ZIP,69,2024-04-17
Fehlt,65,2024-04-18
API,97,2024-04-18
GPKG,1,2024-04-18
HTML,184,2024-04-18
RDF XML,5,2024-04-18
SERVICE,238,2024-04-18
SPARQL,70,2024-04-18
Unbekannt,4,2024-04-18
WMS,236,2024-04-18
WMTS,215,2024-04-18
ZIP,69,2024-04-18
Fehlt,65,2024-04-19
API,97,2024-04-19
GPKG,2,2024-04-19
HTML,184,2024-04-19
RDF XML,5,2024-04-19
SERVICE,238,2024-04-19
SPARQL,70,2024-04-19
Unbekannt,4,2024-04-19
WMS,236,2024-04-19
WMTS,215,2024-04-19
ZIP,71,2024-04-19
cloud optimized geotiff,1,2024-04-19
Fehlt,65,2024-04-20
API,97,2024-04-20
GPKG,2,2024-04-20
HTML,184,2024-04-20
RDF XML,5,2024-04-20
SERVICE,238,2024-04-20
SPARQL,70,2024-04-20
Unbekannt,4,2024-04-20
WMS,236,2024-04-20
WMTS,215,2024-04-20
ZIP,71,2024-04-20
cloud optimized geotiff,1,2024-04-20
Fehlt,65,2024-04-21
API,97,2024-04-21
GPKG,2,2024-04-21
HTML,184,2024-04-21
RDF XML,5,2024-04-21
SERVICE,238,2024-04-21
SPARQL,70,2024-04-21
Unbekannt,4,2024-04-21
WMS,236,2024-04-21
WMTS,215,2024-04-21
ZIP,71,2024-04-21
cloud optimized geotiff,1,2024-04-21
Fehlt,65,2024-04-22
API,97,2024-04-22
GPKG,2,2024-04-22
HTML,184,2024-04-22
RDF XML,5,2024-04-22
SERVICE,238,2024-04-22
SPARQL,70,2024-04-22
Unbekannt,4,2024-04-22
WMS,236,2024-04-22
WMTS,215,2024-04-22
ZIP,71,2024-04-22
cloud optimized geotiff,1,2024-04-22
Fehlt,65,2024-04-23
API,97,2024-04-23
GPKG,2,2024-04-23
HTML,184,2024-04-23
RDF XML,5,2024-04-23
SERVICE,238,2024-04-23
SPARQL,70,2024-04-23
Unbekannt,4,2024-04-23
WMS,236,2024-04-23
WMTS,215,2024-04-23
ZIP,71,2024-04-23
cloud optimized geotiff,1,2024-04-23
Fehlt,65,2024-04-24
API,97,2024-04-24
GPKG,2,2024-04-24
HTML,184,2024-04-24
RDF XML,5,2024-04-24
SERVICE,238,2024-04-24
SPARQL,70,2024-04-24
Unbekannt,4,2024-04-24
WMS,236,2024-04-24
WMTS,215,2024-04-24
ZIP,71,2024-04-24
cloud optimized geotiff,1,2024-04-24
Fehlt,65,2024-04-25
API,97,2024-04-25
GPKG,2,2024-04-25
HTML,184,2024-04-25
RDF XML,5,2024-04-25
SERVICE,238,2024-04-25
SPARQL,70,2024-04-25
Unbekannt,4,2024-04-25
WMS,236,2024-04-25
WMTS,215,2024-04-25
ZIP,71,2024-04-25
cloud optimized geotiff,1,2024-04-25
Fehlt,65,2024-04-26
API,97,2024-04-26
GPKG,2,2024-04-26
HTML,184,2024-04-26
